key;sentence_ja;sentence_fr;sort
握る[にぎる];しょうじょ は ははおや の て を にぎった;La jeune fille serra la main de sa mère.;2487
急速[きゅうそく];コンピューターは きゅうそく 急速な しんか 進化を と 遂げた。;Les ordinateurs ont fait de rapides progrès.;2488
微妙[びみょう];かれ は かいしゃ で びみょう な たちば に あります;Il occupe une position délicate dans l'entreprise.;2489
医療[いりょう];いりょう かんけい の しごと を して います;Je travaille dans le domaine de la santé.;2490
布[ぬの];この ぬの は かーてん に つかえます;Ce tissu peut être utilisé pour les rideaux.;2491
祝い[いわい];お 祝[いわ]いにばらの 花[はな]束[たば]を 贈[おく]りました。;Je lui ai offert un bouquet de roses pour une fête.;2492
命じる[めいじる];きゅう に しゅっちょう を めいじられました;J'ai été soudainement envoyé en voyage d'affaires.;2493
保証[ほしょう];彼女[かのじょ]の 誠実[せいじつ]さは 私[わたし]が 保証[ほしょう]します。;Vous avez ma garantie sur sa sincérité.;2494
バッグ;私[わたし]は 黒[くろ]いバッグを 持[も]っています。;Je possède un sac noir.;2495
進学[しんがく];かのじょ は らいねん だいがく に しんがく する;Elle entrera à l'université l'année prochaine.;2496
マイク;かのじょ は まいく を もって はなしはじめた の;Elle prit le micro et commença à parler.;2497
トップ;かれ は とっぷ の せいせき で ごうかく しました;Il a réussi avec le meilleur score.;2498
今に[いまに];あなた も いまに わかる でしょう;Vous comprendrez un jour.;2499
金曜[きんよう];よく覚えていないのですがたしか先週の金曜日だったと思います。;Je ne me souviens plus exactement, mais je crois que c'était vendredi dernier.;2500
服装[ふくそう];その ぱーてぃー は かじゅある な ふくそう で だいじょうぶ です;C'est bien de porter des vêtements décontractés à la fête.;2501
大気[たいき];大気おせんマップを毎日チェックしています。;Je vérifie la carte de la pollution atmosphérique tous les jours.;2502
読み[よみ];はは に よみかき を ならいました;J'ai appris à lire et à écrire avec ma mère.;2503
月曜[げつよう];彼は来週月曜日にもう一度会を開いてはどうかと提案した。;Il a suggéré que nous nous revoyions lundi prochain.;2504
吸収[きゅうしゅう];かれ は ちしき の きゅうしゅう が はやい です ね;Il absorbe rapidement les connaissances.;2505
タオル;私[わたし]はタオルで 顔[かお]をふいた。;J'ai essuyé mon visage avec une serviette.;2506
訪問[ほうもん];らいしゅう つま の じっか を ほうもん します;La semaine prochaine, nous visiterons la maison familiale de ma femme.;2507
失望[しつぼう];かのじょ は けっこん せいかつ に しつぼう して いた の;Elle a trouvé la vie conjugale décevante.;2508
評判[ひょうばん];新しく出版された雑誌は、評判がいい。;Le magazine récemment publié jouit d'une bonne réputation.;2509
礼儀[れいぎ];かのじょ は れいぎ が み に ついて います;Elle est accomplie dans l'étiquette.;2510
代金[だいきん];3人分の代金は計6000円です。;Le prix total pour 3 personnes est de 6 000 yens.;2511
スキー;冬[ふゆ]はよくスキーに 行[い]きます。;Je vais souvent skier en hiver.;2512
帯[おび];この おび は なが すぎます;Cette ceinture est trop longue.;2513
飼う[かう];ぺっと を かった こと は あります か;As tu déjà eu un animal de compagnie?;2514
休憩[きゅうけい];このあと、10分休憩を取ります。;Après cela, nous ferons une pause de 10 minutes.;2515
列車[れっしゃ];れっしゃ が ほーむ に はいって きた;Le train est arrivé à quai.;2516
幼い[おさない];かのじょ に は おさない むすこ が います;Elle a un petit fils.;2517
カー;サッカーをしますか、それともラグビー？;Tu joues au football ou au rugby ?;2518
経由[けいゆ];めーる を けいゆ して ひろがる うぃるす も あります;Il existe même des virus qui se propagent par e-mail.;2519
損[そん];ぱちんこ で 5000 えん そん しました;J'ai perdu 5 000 yens au pachinko.;2520
スープ;母[はは]がコーンスープを 作[つく]っている。;Ma mère a préparé de la soupe de maïs.;2521
抵抗[ていこう];はんにん は けいさつ に ていこう した の;Le criminel a résisté à la police.;2522
麺[めん];二人[ふたり]は 面[めん]と 向[む]かった。;Ils se sont mis face à face.;2526
火曜[かよう];兄はシカゴからたいてい火曜の夜に私に電話をかけてくる。;Mon frère m'appelle généralement de Chicago le mardi soir.;2527
宝[たから];とみ 富は いっしょう 一生の たから 宝、 ち 知は ばんだい 万代の たから 宝。;La sagesse est meilleure que l'or ou l'argent.;2528
ケース;この けーす に は CD が 50 まい はいります;50 CD rentreront dans cette mallette.;2531
煙[けむり];煙突[えんとつ]から 煙[けむり]がまっすぐ 上[あが]っていたの。;La fumée montait tout droit de la cheminée.;2534
そっくり;あの おやこ は そっくり だ ね;Ce parent et cet enfant se ressemblent.;2539
快適[かいてき];快適な椅子に座ると、勉強しやすくなります。;S'asseoir sur une chaise confortable facilite l'étude.;2540
筋肉[きんにく];水泳[すいえい]は 筋肉[きんにく]を 発達[はったつ]させる。;La natation développe nos muscles.;2547
財産[ざいさん];彼女の財産はどのくらいあるんだろう。;Je me demande combien de biens elle possède.;2549
論文[ろんぶん];論文[ろんぶん]を 仕上[しあ]げないと 卒業[そつぎょう]できませんよ。;Vous ne pouvez pas obtenir votre diplôme si vous ne terminez pas votre thèse.;2550
障害[しょうがい];まずは 障害[しょうがい]を 取[と]り 除[のぞ]いてから 計画[けいかく]を 進[すす]めよう。;Supprimons d'abord les obstacles avant de dérouler le plan.;2551
バイク;兄[あに]はバイクが 大好[だいす]きです。;Mon frère aîné aime les motos.;2553
土曜[どよう];あなたは、来週の土曜日までに論文を提出すべきです。;Vous devez soumettre votre article d'ici samedi prochain.;2555
撃つ[うつ];かれ は けんじゅう で うたれた わ;Il a été abattu avec une arme de poing.;2556
質[しつ];お茶[おちゃ]の 質[しつ]は 下[さ]がりつつある。;La qualité du thé diminue.;2560
コード;こーど が みじかく て こんせんと に とどきません;Le cordon est trop court pour atteindre la prise.;2565
スタイル;彼女[かのじょ]はモデルのようにスタイルがいいね。;Avec sa belle silhouette, elle a un style qui ressemble à un mannequin.;2568
岩[いわ];あの いわ まで およごう;Nagons jusqu'à ce rocher.;2569
幸福[こうふく];かのじょ は こうふく な ひび を すごして いる わ;Elle mène une vie heureuse.;2570
札[さつ];彼[かれ]はカバンから 札[さつ]の 束[たば]を 取[と]り 出[だ]したんだ。;Il a sorti une liasse de billet de son sac.;2573
輝く[かがやく];彼女[かのじょ]の 瞳[ひとみ]は 喜[よろこ]びで 輝[かがや]いていますね。;Ses yeux brillent de joie.;2575
グラス;これ は きれい な ぐらす です ね;C'est un beau verre.;2576
監督[かんとく];彼は有名な映画監督だ。;C'est un célèbre réalisateur.;2578
描く[かく];うちのロゴを違う色でも描いてみてもらえますか。;Pouvez-vous dessiner notre logo avec différentes couleurs?;2580
水色[みずいろ];箱[はこ]に 水色[みずいろ]のリボンがかかっていたの。;Un ruban bleu clair était attaché autour de la boîte.;2581
芝居[しばい];歌舞伎の芝居を見にいきました。;Je suis allé voir une pièce de Kabuki.;2582
ノー;ケイトは歴史の講義を丹念にノートにとった。;Kate prenait des notes méticuleusement pendant ses cours d'histoire.;2585
紐[ひも];靴の紐は自分で結べるよね。;Vous pouvez attacher vos lacets vous-même.;2587
束[たば];これは 1束[ひとたば] 300 円[えん]です。;Cela représente 300 yens par paquet.;2588
クリーム;わたし は あらいもの を した あと て に くりーむ を ぬります;Je mets de la crème pour les mains après avoir fait la vaisselle.;2590
学習[がくしゅう];動機付けというのは、学習過程に影響する因子のひとつです。;La motivation est l'un des facteurs qui influencent le processus d'apprentissage.;2592
宝石[ほうせき];私[わたくし]が 一番[いちばん]好[す]きな宝石[ほうせき]はダイヤモンドなの。;Mon bijou préféré est le diamant.;2593
遅刻[ちこく];遅刻して先生にしかられた。;J'étais en retard et je me suis fait gronder par le professeur.;2594
ミルク;赤[あか]ちゃんにミルクをあげた。;J'ai nourri le bébé avec du lait.;2595
絵画[かいが];来年[らいねん]は、 絵画[かいが] 教室[きょうしつ]に 通[かよ]うつもりだ。;L'année prochaine, j'ai l'intention d'assister à un cours de peinture.;2596
マスター;外国[がいこく] 語[ご]をマスターするのは 大変[たいへん]だ。;Il est difficile de maîtriser les langues étrangères.;2597
留守番[るすばん];わたし は るすばん の もの です;Je m'occupe de la maison.;2598
谷[たに];その むら は ふかい たに に ある の;Le village est dans une vallée profonde.;2599
キャプテン;高校[こうこう]３ 年[ねん]の 時[とき]、キャプテンだった。;Quand j'étais en troisième année de lycée, j'étais capitaine.;2600
ドライブ;今日[きょう]は 群馬[ぐんま]までドライブしました。;Aujourd'hui, j'ai roulé jusqu'à Gunma.;2601
支払い[しはらい];彼[かれ]は 借金[しゃっきん]の 支払[しはら]いを 要求[ようきゅう]した。;Il a exigé le paiement de la dette.;2603
ぴったり;かぜ が ぴたりと やんだ ね;Le vent s'est soudainement calmé.;2604
行けない[いけない];今は行けないんだ。;Je ne peux pas y aller maintenant.;2605
アルバム;私[わたし]は 彼[かれ]のアルバムを 見[み]た。;J'ai vu son album.;2610
ゴール;マラソンで、５ 時間[じかん]かかってゴールした。;Au marathon, il a fallu cinq heures pour arriver au but.;2612
豊富[ほうふ];その 国[くに]は 石油[せきゆ]が豊富[ほうふ]である。;Le pétrole est abondant dans ce pays.;2617
トン;戦争が始まったとき、トムはボストンにいた。;Tom était à Boston lorsque la guerre a éclaté.;2618
たっぷり;たっぷりとマッサージしてもらいました。;I got a full massage.;2620
バカ;バカな質問していい？;Puis-je poser une question bête ?;2622
こんなに;こんなに 面白[おもしろ]い 本[ほん]は 初[はじ]めて 読[よ]んだ。;C'est la première fois que j'ai lu un livre aussi intéressant.;2624
のんびり;休みの日は家でのんびり過ごします。;Les jours de repos, je passe tranquillement mon temps à la maison.;2625
アウト;チェックアウト・タイムは何時ですか。;À quelle heure se fait le départ ?;2628
だって;うん。起きるの早いんだって。;Ouais. Il a dit qu'il se levait tôt.;2629
鉄道[てつどう];我々[われわれ]は 鉄道[てつどう] 施設[しせつ]の 契約[けいやく]をした。;Nous avons signé un pour construire un chemin de fer.;2633
欠点[けってん];欠点[けってん]のない 人間[にんげん]はいません。;Tout le monde a des failles.;2634
修理[しゅうり];それはまだ修理されていません。;Cela n'a pas encore reçu de réparation.;2637
ママ;まま に きいて みよう;Demandons à maman.;2639
故郷[ふるさと];この景色を見ると、懐かしい生まれ故郷の町を思い出すよ。;Ce paysage me rappelle ma ville natale bien-aimée.;2640
冒険[ぼうけん];昔の子供たちは冒険小説をよく読みました。;Autrefois, les enfants lisaient souvent des romans d’aventures.;2642
済ませる[すませる];ひるごはん は かんたん に すませましょう;Allons un petit déjeuner rapide;2643
いえ;いいえ、辛くないです。;Non, ce n'est pas épicé.;2647
クラシック;彼女[かのじょ]はクラシック 音楽[おんがく]が 好[す]きです。;Elle aime la musique classique.;2649
うまい;彼は歌を歌うのがうまい。;Il chante bien.;2651
バン;そのバンドはただいまお休みです。;Ce groupe est actuellement en pause.;2652
さっぱり;かのじょ の いって いる こと が さっぱり わからない の;Je ne comprends pas du tout ce qu'elle dit.;2658
陸[りく];ウミガメが 陸[りく]に 上[あ]がってきたんだ。;Les tortues de mer sont arrivées sur terre.;2663
真逆[まさか];まさか 車[くるま]が 当[あ]たるとは 思[おも]わなかった。;Je n'ai jamais imaginé que je gagnerais une voiture.;2669
尻[しり];大きな集団の尻につくより頭になれ。;Devenez le leader d'un grand groupe plutôt que de suivre ses suiveurs.;2670
物価[ぶっか];この 国[くに]の 物価[ぶっか]はここ１０ 年[ねん]で 高[たか]くってなったね。;Les prix dans ce pays sont devenus chers au cours des 10 dernières années.;2675
貧しい[まずしい];彼[かれ]は 貧[まず]しい 家庭[かてい]で 育[そだ]ったんだ。;Il a grandi dans une famille pauvre.;2676
咳[せき];咳[せき]が 止[と]まらないので 病院[びょういん]に 行[い]ってきたの。;Je suis allé à l'hôpital parce que ma toux ne s'arrêtait pas.;2682
そっと;ははおや は むすめ の かみ を そっと なでた の;La mère tapota tranquillement les cheveux de sa fille.;2683
あんなに;あんなにいい 人[ひと]はいません。;Je n'ai jamais vu une personne d'aussi bon cœur.;2684
絶滅[ぜつめつ];その動物は絶滅の危機に瀕している。;Cet animal est en voie d'extinction.;2686
発明[はつめい];その学校は、多くの発明家を送り出している。;Cette école a formé de nombreux inventeurs.;2690
ようこそ;にっぽん へ ようこそ;Bienvenue au Japon.;2691
だが;彼にはよくあることだが、夜遅くまで起きている。;Comme à son habitude, il reste éveillé tard dans la nuit.;2693
設計[せっけい];庭を設計するのが彼の仕事です。;Son travail consiste à concevoir le jardin.;2694
ぼんやり;かれ は とおく を ぼんやり みて いた の;Il regarda vaguement au loin.;2695
ピン;かのじょ は いつも かみ を ぴん で とめて いる ね;Elle tient toujours ses cheveux avec des épingles.;2699
穏やか[おだやか];海[うみ]は 穏[おだ]やかに、そしてなめらかに 見[み]える。;La mer a l'air calme et lisse.;2700
作曲[さっきょく];この曲は誰が作曲したのですか。;Qui a composé cette chanson ?;2702
勧める[すすめる];すすめられて ほしく も ない もの を かっちゃった よ;Sur les conseils de quelqu'un, j'ai fini par acheter quelque chose dont je ne voulais pas.;2706
資本[しほん];ベンチャー・キャピタル、いわゆる冒険資本が不足するには、訳があります。;Il y a une raison à la pénurie de capital-risque.;2707
僅か[わずか];彼[かれ]はわずかな 貯金[ちょきん]で 暮[く]らしている。;Il vit sur ses piètres économies.;2710
こうやって;普段はこうやって魚を料理してるんだよ。;Voici comment je cuisine habituellement le poisson.;2711
東北[とうほく];東北で、ボランティアをしていました。;Je faisais du bénévolat à Tohoku.;2712
いらっしゃい;「早くいらっしゃい、ビル」「はい、おかあさん」;"""Viens vite, Bill."" ""Oui, maman.""";2716
金銭[きんせん];金銭のトラブルには関わりたくありません。;Je ne veux pas m'impliquer dans des problèmes financiers.;2717
木曜[もくよう];木曜日より金曜日に来ていただきたいのですが。;Je préférerais que vous veniez vendredi plutôt que jeudi.;2718
オフィス;ジャックと私は、土曜日は交代でオフィスで働くことに同意した。;Jack et moi avons convenu de travailler à tour de rôle au bureau le samedi.;2719
誇り[ほこり];この 部屋[へや]はほこりだらけですね。;Cette pièce est recouverte de poussière.;2720
尤も[もっとも];日本語を話せます。もっとも、少しだけですが。;Je peux parler japonais. Cependant, seulement un peu.;2722
象[ぞう];象[ぞう]に 乗[の]ってみたいです。;Je veux monter un éléphant.;2732
パスポート;パスポートが 見[み]つからない。;Mon passeport est introuvable.;2746
ロケット;ロケットは今頃には当然月についているはずだ。;La fusée aurait dû atteindre la lune depuis longtemps, bien sûr.;2756
食糧[しょくりょう];食糧の備蓄は十分にあります。;Il existe de nombreuses dispositions d'urgence.;2759
豪華[ごうか];会場[かいじょう]に 豪華[ごうか]な 花[はな]が 飾[かざ]ってあった;De magnifiques fleurs ont été exposées dans le hall.;2761
計る[はかる];このドアの 高[たか]さを 測[はか]ってください。;Veuillez mesurer la hauteur de cette porte.;2763
企業[きぎょう];彼女[かのじょ]はアメリカの 企業[きぎょう]で 働[はたら]いています。;Elle travaille dans une entreprise américaine.;2773
環境[かんきょう];引[ひ]っ 越[こ]して 環境[かんきょう]が 変[か]わりました。;Mon environnement a changé depuis que j'ai déménagé.;2775
追い付く[おいつく];えき で ようやく かれ に おいつきました;Je l'ai finalement rattrapé à la gare.;2786
宿泊[しゅくはく];交通費と宿泊代で、５万円くらいかかる。;Il en coûtera environ 50 000 yens pour le transport et l'hébergement.;2790
小人[しょうにん];５歳[ごさい] 未満[みまん]の 小人[しょうにん]は、 入場料[にゅうじょうりょう]は 要[い]りません。;Il n'y a pas de frais d'admission pour les enfants de moins de cinq ans.;2794
年月[ねんげつ];あれだけのコインを 収集[しゅうしゅう]するのにどれだけの 年月[としつき]がかかりましたか。;Combien de temps a-t-il pris pour collecter autant de pièces de monnaie?;2806
ベンチ;公園[こうえん]のベンチで 本[ほん]を 読[よ]んでいます。;Je lis un livre sur un banc de parc;2808
バイオリン;彼女[かのじょ]はバイオリンを 習[なら]っています。;She's learning the violin.;2809
一台[いちだい];このテレビは、一台四万九千円です。;Ces téléviseurs coûtent quarante-neuf mille yens chacun;2812
横断[おうだん];道路[どうろ]を 横断[おうだん]するときは 注意[ちゅうい]して。;Faites attention lorsque vous traversez la route.;2822
番線[ばんせん];電車[でんしゃ]は １０番線[じゅうばんせん]にあります。;Le train est sur la ligne 10.;2827
火薬[かやく];火薬[かやく]が 爆発[ばくはつ]して 負傷[ふしょう] 者[しゃ]が 出[で]た;La poudre a explosé et certaines personnes ont été blessées.;2831
ダイヤ;これは本物のダイヤでしょう。;C'est un véritable diamant, n'est-ce pas ?;2832
目覚まし時計[めざましどけい];７ 時[じ]に 目覚[めざ]まし 時計[どけい]が 鳴[な]りました。;Le réveil s'éteignit à sept heures.;2843
騒音[そうおん];窓[まど]から 車[くるま]の 騒音[そうおん]が 入[はい]ってきます。;Le bruit des voitures passe par la fenêtre.;2845
お尻[おしり];ずっと 座[すわ]って いたので 、お 尻[しり] が 痛[いた]い です 。;J'étais assis pendant un moment, alors j'ai mal aux fesses.;2846
大家族[だいかぞく];彼は若いが養わなければならない大家族がある。;Il est jeune, mais il a une famille nombreuse à charge.;2849
石油[せきゆ];日本[にっぽん]は 石油[せきゆ]のほとんどを 輸入[ゆにゅう]しています。;Le Japon importe la plus grande partie de son pétrole.;2851
一文字[いちもんじ];女の子は、おこって口を一文字にむすびました。;La fille se fâcha et sa bouche se pinça en une ligne droite.;2852
換える[かえる];車[くるま]のタイヤを 換[か]えた。;J'ai changé les pneus de la voiture.;2859
だけど;「彼女も来る？」「だといいんだけど」;« Elle vient aussi ? » « Je l’espère. »;2860
貯金[ちょきん];今月は赤字だよ。来月から節約しないと貯金が底をついちゃうよ。;Nous sommes dans le rouge ce mois-ci. Si nous ne commençons pas à économiser le mois prochain, nos économies seront épuisées.;2862
九州[きゅうしゅう];九州のりょうりはおいしいです。;La cuisine de Kyushu est délicieuse.;2869
徹夜[てつや];ゆうべは徹夜しました。;ゆうべは徹夜しました。;2872
ユーモア;彼女[かのじょ]はユーモアのセンスがあります。;Elle a le sens de l'humour.;2874
具体[ぐたい];具体的には何すんの。;Que ferez-vous exactement ?;2875
請求[せいきゅう];電話料金の請求書が届いた。;J'ai reçu une facture de téléphone.;2879
いけない;あそこから、写真を撮ってはいけない。;Il ne faut pas prendre de photos depuis là-bas.;2880
盛り[さかり];あの事故が起こったのは夏の盛りでした;Cet accident s’est produit au cœur de l’été.;2883
ウイスキー;ウイスキーが１本あるんだ。;J'ai une bouteille de whisky.;2886
と言う[という];彼が泥棒と言うことが判明した。;Il s'est avéré que c'était un voleur.;2888
二十[はたち];私は彼女とは二十年以上の知り合いである。;Je la connais depuis plus de vingt ans.;2890
入学式[にゅうがくしき];入学式[にゅうがくしき]は 十[じゅう] 時[とき]から 行[おこな]います。;La cérémonie d'entrée aura lieu à 10 heures.;2892
ソファ;ソファーに寝転がってもいい？;Est-ce que je peux m'allonger sur le canapé ?;2893
それと;昨日読んでたのって、フランス語の本？それとも英語の本？;Le livre que vous lisiez hier était-il en français ou en anglais ?;2894
ケチ;彼[かれ]は 金持[かねも]ちだけど、けちね。;He is rich but stingy.;2895
シューズ;ジョギング 用[よう]のシューズは 安[やす]くないな。;Les chaussures de jogging ne sont pas bon marché.;2896
お金持ち[おかねもち];そのおばあさんは彼がお金持ちだと信じている。;La vieille femme croit qu'il est riche.;2898
お目にかかる[おめにかかる];またお目にかかれてうれしいです。;(humble) Je suis content de vous revoir.;2899
にっこり;かのじょ は にっこり ほほえんだ;Elle sourit largement.;2902
製品[せいひん];これらの 製品[せいひん]はヨーロッパで 有名[ゆうめい]です。;Ces produits sont réputés en Europe.;2903
分[ぶ];その 貸付金[かしつけきん]は、８ 分[ぶ]の 利益[りえき]を 生[う]む。;Le prêt porte un intérêt de 8%.;2905
できれば;遅れを取り戻す事ができればよいのに。;J'aimerais que nous puissions rattraper le temps perdu.;2908
とんでもない;仕事中に帰るなんてとんでもない。;Je ne supporte pas de rentrer chez moi pendant le travail.;2909
ハイキング;昨日[きのう]は 友人[ゆうじん]とハイキングに 行[い]きました。;Je suis allé faire de la randonnée avec mon ami hier.;2912
独り[ひとり];彼は独り住居だ。;Il vit seul.;2914
基づく[もとづく];この 物語[ものがたり]は 事実[じじつ]に 基[もと]づいている。;Cette histoire est basée sur des faits.;2915
その内[そのうち];そのうち 一緒[いっしょ]に 仕事[しごと]ができるといいなと 思[おも]っています。;J'espère que nous pourrons bientôt travailler ensemble.;2916
破産[はさん];あの会社は昨年破産しました;Cette entreprise a fait faillite l'année dernière.;2917
奇妙[きみょう];彼から奇妙な話を聞きました;J'ai entendu une histoire étrange de sa part;2918
人ごみ[ひとごみ];彼は人ごみの中をひじでかきわけて進んだ。;Il s'est frayé un chemin à travers la foule en utilisant ses coudes.;2919
唸る[うなる];夕べは３９度の熱があって、ずっと唸っていた。;Le soir, j'avais une fièvre de 39 degrés et je gémissais tout le temps.;2921
十[とお];僕の部屋は狭いっちゃ狭いけど、僕にとっては十分広い。;Ma chambre est petite, mais elle est suffisamment spacieuse pour moi.;2949
ジーンズ;私[わたし]は 日曜日[にちようび]はたいていジーンズをはいている。;Je porte habituellement des jeans le dimanche.;2953
アイスクリーム;アイスクリームを ３つ[みっつ]ください。;Donnez-moi trois glaces, s'il vous plaît.;2954
ピクニック;きょう は ぴくにっく に いきましょう;Allons pique-niquer aujourd'hui.;2955
仕舞う[しまう];彼女[かのじょ]は 大切[たいせつ]な 書類[しょるい]を 机[つくえ]に 仕舞[しま]った。;Elle a mis les documents importants sur son bureau.;2961
おしゃべり;あの男はおしゃべりすぎる。;Cet homme parle trop.;2971
姿[すがた];遠[とお]くに 彼女[かのじょ]の 姿[すがた]が 見[み]えた。;J'ai vu son visage de loin.;2977
無くてはならない[なくてはならない];お父さんに鍵をもらわなくてはならない。;Je dois aller à la banque à 15h30.;2979
ダイナマイト;ダイナマイトが 爆発[ばくはつ]した;La dynamite a explosé.;2981
刈る[かる];オーストラリアで羊の毛を刈った。;Les moutons étaient tondus en Australie.;2983
梅雨[つゆ];天気予報[てんきよほう]によれば、まもなく 梅雨[つゆ]に 入[はい]るそうだ。;Selon les prévisions météorologiques, la saison des pluies commencera incessament sous peu.;2986
然も[しかも];彼女[かのじょ]はインテリで、しかも美人[びじん]ですね。;Elle est intelligente, de plus elle est belle.;2990
一番線[いちばんせん];3番線、ドアが閉まります。ご注意ください。;Les portes du quai 3 se ferment. Soyez prudents.;3000
分[ぶん];君の熱意は十分に伝わったよ。;Votre enthousiasme était très clair.;3003
所謂[いわゆる];これがいわゆるスマートフォンです。;C'est ce que nous appelons un smartphone.;3004
博士[はかせ];彼[かれ]は 物理[ぶつり] 学[がく]の 博士[はかせ]です。;C'est un expert en physique.;3007
不[ふ];私は不平を言わずにはいられない。;Je ne peux m'empêcher de me plaindre.;3010
矢張り[やはり];"Δ il y'a une nuance: après avoir réfléchi ; Δ cette forme est utilisée en discours soutenue. en discour parlé on utilise やぱり    彼[かれ]はやはり 遅刻[ちこく]しました。";Il était en retard, comme prévu.;3015
何が何だか分からない[なにがなんだかわからない];何が何だか分からないよ。;Je ne comprends rien.;3018
無[む];無人機じゃ味気ないだろ。;Les drones, c'est pas amusant, hein ?;3022
図[ず];図[ず]を 描[か]いて 説明[せつめい]しましょう。;Permettez-moi de dessiner un diagramme pour vous expliquer.;3054
修理屋[しゅうりや];この 詩[し]は 誰[だれ]が 書[か]いたのですか。;Par qui ce poème a-t-il été écrit ?;3057
鬼[おに];彼[かれ]は 鬼[おに]のような 人[ひと]だ;Il ressemble à un démon.;3073
桜[さくら];桜[さくら]は 三月[さんがつ]か 四月[しがつ]に 咲[さ]きます。;Les fleurs de cerisier fleurissent en mars ou avril.;3086
カルチャーショック;外国[がいこく]に 行[い]くと 我々[われわれ]は 大抵[たいてい]カルチャーショックを 体験[たいけん]する。;Lorsque nous allons dans un pays étranger, la plupart d'entre nous vivent un choc culturel.;3098
胃[い];昨日[きのう]から 胃[い]が 痛[いた]い。;J'ai mal au ventre depuis hier.;3104
柄[がら];彼[かれ]は 犬[いぬ]の 柄[がら]のＴシャツを 着[き]ているよ。;Il porte un T-shirt avec un chien imprimé dessus.;3134
お電話、代わりました[おでんわかわりました];お電話、代わりました[おでんわかわりました];allô，[nom] est à l’appareil. (après un changement d'interlocuteur);3135
猿[さる];山[やま]で 猿[さる]の 親子[おやこ]を 見[み]ました。;J'ai vu une mère et son enfant singes dans la montagne.;3137
節[ふし];熱が出て体の節々が痛んだ;J'avais de la fièvre et toutes les articulations de mon corps me faisaient mal.;3138
年組[ねんくみ];迷っている間にも、どんどん袋小路に追いつめられていくみたい。;Pendant que vous hésitez, vous avez l'impression de vous enfoncer de plus en plus dans une impasse.;3142
ぜひお願いします[ぜひねがいします];ぜひお願いします。;Je vous en prie.;3148
凡そ[およそ];家[いえ]から 駅[えき]までおよそ１キロあります。;It's about one kilometer from my home to the station.;3153
縁[ふち];グラスの縁に口紅がついてしまった;Du rouge à lèvres s’est mis sur le bord du verre.;3154
鋏[はさみ];はさみを 借[か]ります。;Je vais emprunter des ciseaux.;3156
助けてくれ[たすけてくれ]！;助けてくれ！;Aide-moi!;3158
戴きます[いただきます];戴きます。;J'en prendrai.;3161
綿[わた];綿菓子が大好きなんです。;J'adore la barbe à papa.;3163
泡[あわ];この 石鹸[せっけん]は、 泡[あわ]がよく 出[で]る。;Ce savon produit beaucoup de bulles.;3166
有難う[ありがとう];有難うございました。;Merci beaucoup.;3168
結局で、どうなったの[けっきょくで、どうなったの]？;結局で、どうなったの？;Alors, que s'est-il passé à la fin ?;3169
とんでも無い[とんでもない];仕事中に帰るなんてとんでもない。;Je ne supporte pas de rentrer chez moi pendant le travail.;3172
申し訳ありませんでした[もうしわけありませんでした];申し訳ありませんでした。;Je suis vraiment désolé.;3176
銃[じゅう];外出中に、部屋に置いてあった銃が母親に見つかってしまったんです。;Ma mère a trouvé mon arme dans ma chambre pendant que j'étais sorti.;3179
困りましたね[こまりましたね];困りましたね;C'est un problème.;3184
御[お];御免なさい。;Désolé.;3188
其処で[そこで];そこで 彼女[かのじょ]に 会[あ]えるといいと 思[おも]ったのですが。;J'avais espéré l'avoir rencontrée là-bas.;3200
支払[しはらい];お支払いはいかがなさいますか？;Comment souhaiteriez-vous payer ?;3205
どう為さいます[どうなさいます];お飲み物はどうなさいますか？;Que voudriez-vous comme boisson ?;3208
其れでも[それでも];雨[あめ]が 激[はげ]しく 降[ふ]っていますそれでも 私[わたし]は 行[い]かなければならない。;Il pleut fort et pourtant je dois y aller.;3209
凝乎と[じっと];あの 生徒[せいと]はじっと 先生[せんせい]の 話[はなし]を 聞[き]いていたね。;L'élève écoutait attentivement l'enseignant.;3212
これで宜しいでしょうか[これでよろしいでしょうか];これで宜しいでしょうか;Est-ce que ça vous convient ?;3213
そんな筈はありません[そんなはずはありません];そんな筈はありません;Ce n'est pas possible.;3215
メモする;私[わたし]の 電話[でんわ] 番号[ばんごう]をメモしましたか。;Avez-vous noté mon numéro de téléphone?;3216
其れもそうですね[それもそうですね];それもそうですね;C'est vrai.;3217
其の儘[そのまま];そのまま おまち ください;Veuillez patienter un peu.;3218
其れ共[それとも];コーヒー、それとも紅茶がいいですか。;Que voulez-vous, du café ou bien du thé ?;3219
依ると[よると];ことによると、きみにも一緒にきてもらう。;Selon les circonstances, je pourrais vous demander de venir aussi.;3220
拠る[よる];この病気はウイルスの感染によって起こる。;Cette maladie est causée par une infection virale.;3223
欧羅巴[ヨーロッパ];スイスは中央ヨーロッパにあるよ。;La Suisse se situe en Europe centrale.;3225
アイロンをする;これにアイロンをかけてください。;Veuillez repasser ceci.;3227
トランプをする;彼はトランプをするときがない。;Il ne joue jamais aux cartes.;3229
中身[なかみ];かばんの 中身[なかみ]を 見[み]せてください。;Veuillez me montrer le contenu de votre sac.;3237
当たり前[あたりまえ];我々[われわれ]は 彼[かれ]が 成功[せいこう]したのは 当たり前[あたりまえ]だと 思[おも]った。;Nous avons pris son succès pour acquis.;3239
