人[ひと];彼[かれ]は 優[やさ]しい 人[ひと]です。
至急[しきゅう];会社[かいしゃ]から 至急[しきゅう]との 連絡[れんらく]があったんだ。
泊める[とめる];友達[ともだち]をうちに 泊[と]めてあげました。
承る[うけたまわる];ご 伝言を 承りましょうか。
線路[せんろ];子猫[こねこ]が 線路[せんろ]に 迷[まよ]い 込[こ]んだぞ。
高等[こうとう];人間[にんげん]は 高等[こうとう]な 生物[せいぶつ]と 言[い]われている。
群れ[むれ];湖[みずうみ]に 鳥[とり]の 群[むれ]がいたよ。
儀式[ぎしき];儀式[ぎしき]には 作法[さほう]があります。
診断[しんだん];医師[いし]は 異常[いじょう]なしと 診断[しんだん]したんだ。
アイデア;アイディアが 足[た]りないということはない。
続々[ぞくぞく];お 客[きゃく]さんが 続々[ぞくぞく]とやってきましたよ。
団地[だんち];私[わたし]の 弟[おとうと]は 団地[だんち]に 住[す]んでいます。
香水[こうすい];香水[こうすい]のいい 香[かお]りがした。
短期[たんき];明日[あした]から 2週間[にしゅうかん]短期[たんき]のアルバイトをします。
通帳[つうちょう];銀行[ぎんこう]の 通帳[つうちょう]を 持[も]ってきてください。
兵隊[へいたい];兵隊[へいたい]が 銃[じゅう]を 構[かま]えていたよ。
直径[ちょっけい];この 円[えん]は 直径[ちょっけい]6センチです。
四季[しき];日本[にほん]には 四季[しき]がある。
児童[じどう];ここは 児童[じどう]の 通学路[つうがくろ]です。
重量[じゅうりょう];この 荷物[にもつ]はかなりの 重量[じゅうりょう]ですね。
便所[べんじょ];便所[べんじょ]はそこです。
父母[ふぼ];学校[がっこう]から 父母[ふぼ]に 連絡[れんらく]があったんだ。
真似る[まねる];私[わたし]の 動[うご]きを 真似[まね]てください。
慰める[なぐさめる];友人[ゆうじん]が 慰[なぐさ]めてくれました。
高層[こうそう];この 辺[あた]りは 高層[こうそう]ビルが 増[ふ]えましたね。
誓う[ちかう];二人[ふたり]は 一生[いっしょう]を 共[とも]にすることを 誓[ちか]ったの。
臨時[りんじ];彼女[かのじょ]は 臨時[りんじ]の 店員[てんいん]です。
満員[まんいん];このバスは 満員[まんいん]です。
焚く[たく];薪[まき]を 集[あつ]めて 火[ひ]を 焚[た]いたよ。
薄暗い[うすぐらい];外[そと]はもう 薄暗[うすぐら]くなりましたよ。
塞ぐ[ふさぐ];あまりにうるさかったので 耳[みみ]を 塞[ふさ]いだわ。
嵌める[はめる];彼女[かのじょ]は 指輪[ゆびわ]をたくさん 嵌[は]めていますね。
定休日[ていきゅうび];この 店[みせ]は 水曜[すいよう]が 定休日[ていきゅうび]です。
裏口[うらぐち];裏口[うらぐち]へお 回[まわ]りください。
東洋[とうよう];彼[かれ]は 東洋[とうよう]文化[ぶんか]を 研究[けんきゅう]しているよ。
裏返す[うらがえす];彼[かれ]は 紙[かみ]を 裏返[うらがえ]しました。
発電[はつでん];ここでは 太陽[たいよう]エネルギーを 使[つか]って 発電[はつでん]しています。
梯子[はしご];梯子[はしご]を 使[つか]って 屋根[やね]に 登[のぼ]りました。
載せる[のせる];皿[さら]にケーキを 載[の]せました。
スピーカー;このスピーカーは 音[おと]がいいですね。
出迎え[でむかえ];空港[くうこう]へ 彼女[かのじょ]を 出迎[でむか]えに 行[い]きました。
育児[いくじ];彼女[かのじょ]は 育児[いくじ]で 忙[いそが]しいよ。
傾く[かたむく];お 日様[ひさま]が 西[にし]に 傾[かたむ]きましたね。
曖昧[あいまい];彼女[かのじょ]は 曖昧[あいまい]な 返事[へんじ]をしたね。
緩い[ゆるい];このズボンは 緩[ゆる]いです。
撮影[さつえい];撮影[さつえい]は 三[さん]か 月[げつ]かけて 行[おこな]われました。
険しい[けわしい];父[ちち]の 表情[ひょうじょう]が 険[けわ]しくなったの。
溜める[ためる];お 風呂[ふろ]に 水[みず]を 溜[た]めておいてください。
貸し出し[かしだし];その 本[ほん]は 貸[か]し 出[だ]ししていません。
脂[あぶら];この 肉[にく]は 脂[あぶら]が 多[おお]い。
総理大臣[そうりだいじん];国民[こくみん]の 6割[わり]が 総理大臣[そうりだいじん]を 支持[しじ]しています。
公共[こうきょう];公共[こうきょう]の 乗[の]り 物[もの]は 誰[だれ]でも 利用[りよう]できます。
燃やす[もやす];古[ふる]い 手紙[てがみ]を 燃[も]やしたんだ。
学科[がっか];彼[かれ]の 得意[とくい]な 学科[がっか]は 数学[すうがく]です。
包帯[ほうたい];彼女[かのじょ]は 手[て]に 包帯[ほうたい]を 巻[ま]いていたんだ。
鈍い[にぶい];今日[きょう]は 頭[あたま]の 回転[かいてん]が 鈍[にぶ]いです。
移転[いてん];彼[かれ]の 会社[かいしゃ]は 移転[いてん]したよ。
恵まれる[めぐまれる];当日[とうじつ]は 天気[てんき]に 恵[めぐ]まれました。
東西[とうざい];東西[とうざい]に 大[おお]きな 道路[どうろ]が 通[とお]っています。
何の[どの];この 5つの 中[なか]で、どのドラマが 一番[いちばん]好[す]きですか？
始め[はじめ];始[はじ]めにスープが 出[で]ます。
本当は[ほんとうは];彼[かれ]が 本当[ほんとう]は 何[なに]が 欲[ほ]しいのかわからない。
千[せん];六[ろく]千[せん]分[ぷん]は、 百[ひゃく]時間[じかん]です。
六[ろく];彼[かれ]には 子供[こども]が 六人[ろくにん]います。
から;ここからタワーが 見[み]えるよ。
七[しち];そのグループのメンバーは 全部[ぜんぶ]で 七人[しちにん]だ。
ええ;ええ、 私[わたし]も 知[し]りたいです。
へえ;へえ、それは 知[し]りませんでした。
こんな;こんな 靴[くつ]がほしかった。
鼻[はな];豚[ぶた]の 鼻[はな]はおもしろいですね。
机[つくえ];王[おう]さんの 机[つくえ]はどれですか。
ううん;ううん、 見[み]なかった。
二つ[ふたつ];明日[あした]、 二[ふた]つ 会議[かいぎ]がある。
撮る[とる];写真[しゃしん]をたくさん 撮[と]りました。
カレー;日本[にほん]ではカレーが 甘[あま]いです。
箸[はし];お 箸[はし]つけますか？
皿[さら];お 皿[さら]を 洗[あら]ってもらえませんか？
お風呂[おふろ];あなたが 電話[でんわ]したとき、 私[わたし]はお 風呂[おふろ]に 入[はい]っていたのです。
厚い[あつい];その 辞書[じしょ]はとても 厚[あつ]い。
良い[よい];彼[かれ]は 良[よ]い 人[ひと]です。
警官[けいかん];警官[けいかん]が 街[まち]をパトロールしている。
ご飯[ごはん];ご 飯[ごはん]がおいしい。
寒い[さむい];あなたの 部屋[へや]は 寒[さむ]いですか？
テープ;そのテープを 聞[き]きましょう。
散歩[さんぽ];彼女[かのじょ]は 今朝[けさ]お 父[とう]さんと 散歩[さんぽ]した。
散歩[さんぽ];彼女[かのじょ]は 今朝[けさ]お 父[とう]さんと 散歩[さんぽ]した。
どうも;気[き]にかけていただいてどうも。
掃除[そうじ];トイレを 掃除[そうじ]しましたか。
でも;今日[きょう]は 学校[がっこう]がある。でも、 病気[びょうき]で 行[い]けなかった。
失礼ですが[しつれいですが];失礼[しつれい]ですがどなたでしょうか。
じゃあ;病気[びょうき]じゃありませんから、 心配[しんぱい]しないでください。
お元気ですか[おげんきですか];奥様[おくさま]はお 元気[げんき]ですか。
コート;寒[さむ]いのでコートを 着[き]なければなりません。
パーティー;パーティーは 楽[たの]しむものです。
お弁当[おべんとう];お 弁当[べんとう]はよかったでしょう。
いらっしゃいませ;あなたも 私[わたし]たちと 一緒[いっしょ]にいらっしゃいませんか。
ベッド;新[あたら]しいベッドを 買[か]いたい。
スカート;彼女[かのじょ]はあまりスカートは 履[は]かない。
洗濯[せんたく];メアリーは 洗濯物[せんたくもの]を 干[ほ]してるよ。
幾つ[いくつ];弟[おとうと]さんって、お 幾[いく]つですか？
どうやって;この 動画[どうが]、どうやって 作[つく]ったんですか？
ギター;これは 兄[あに]のギターです。
珈琲[コーヒー];喫茶店[きっさてん]でコーヒーを 飲[の]む。
易しい[やさしい];この 踊[おど]りは 易[やさ]しいですよ。
茶碗[ちゃわん];この 大[おお]きい 茶碗[ちゃわん]は 誰[だれ]のですか。
背が高い[せがたかい];こんなに 背[せ]が 高[たか]いホビットは 見[み]たことがないよ。
お茶[おちゃ];お 茶[ちゃ]でも 飲[の]みませんか。
一万[いちまん];この 靴[くつ]は 1万円[いちまんえん]です。
一月[ひとつき];日本[にほん]に 一月[ひとつき]ぐらいいました。
務める[つとめる];彼女[かのじょ]は 大[おお]きな 会社[かいしゃ]に 務[つと]めていたけど、やめた。
一千[いっせん];昨日[きのう]、 私[わたし]は 一千円[いっせんえん]で 本[ほん]を 買[か]いました。
体にいい[からだにいい];休[やす]むことは 体[からだ]にいいです。
良かったら[よかったら];良[よ]かったら 連[つ]れてくよ。
時[じ];8時[じ]です。
四つ[よっつ];彼[かれ]はドアが 4つある 車[くるま]を 持[も]っています。
立ち入り[たちいり]禁止[きんし];ここは 立[た]ち 入[い]り 禁止[きんし]です。
夕べ[ゆうべ];夕[ゆう]べはあまり 暑[あつ]くなかった。
二百[にひゃく];私[わたし]は 二百円[にひゃくえん]持[も]っていたけど、 使[つか]わなかった。
五つ[いつつ];彼[かれ]は 5つ 新[あたら]しい 単語[たんご]を 覚[おぼ]えました。
五十[ごじゅう];回転寿司[かいてんずし]で、 五十皿[ごじゅうさら]たべた。
お酒[おさけ];私[わたし]はあまりお 酒[さけ]を 飲[の]みません。
四十[よんじゅう];Tシャツを 四十枚[よんじゅうまい]もっています。
七つ[ななつ];七[なな]つの 海[うみ]の 名前[なまえ]は 何[なん]ですか。
音を出す[おとをだす];彼女[かのじょ]はピアノで 高[たか]い 音[おと]を 出[だ]した。
スリッパ;スリッパを 履[は]いてください。
何方[どちら];お 手洗[てあら]いはどちらですか。
朝ご飯[あさごはん];朝ご 飯[あさごはん]はサンドイッチでした。
四千[よんせん];フォロワーが 四千人[よんせんにん]になりました。
如何[どう];事[こと]はどうですか？
八つ[やっつ];この 赤[あか]いリンゴを 8つください。
二[に];その 人[ひと]には 二回[にかい]会[あ]った。
此処[ここ];ここから 近[ちか]い。
四[よん];彼[かれ]は 二十四歳[にじゅうよんさい]です。
六つ[むっつ];彼[かれ]らは 6つの 物[もの]を 取[と]りました。
段々[だんだん];段々[だんだん]難[むずか]しくなります。
七[なな];数字[すうじ]の 七十七[ななじゅうなな]
彼処[あそこ];あそこに 人[ひと]がいます。
頁[ページ];5ページの 最初[さいしょ]を 見[み]てください。
此の[この];この 猫[ねこ]ですね。
十万[じゅうまん];パチンコで 十万円[じゅうまんえん]かちました。
九つ[ここのつ];私[わたし]たちの 学校[がっこう]にはクラスが 9つある。
お祖母さん[おばあさん];彼女[かのじょ]はお 祖母[ばあ]さんと 住[す]んでいる。
お皿[おさら];コップとお 皿[さら]は 割[わ]れていた。
直ぐに[すぐに];彼[かれ]は 直[す]ぐにそのショックから 立[た]ち 直[なお]った。
四[し];四月[しがつ]ですね。
二万[にまん];このブドウは 二万円[にまんえん]もしました。
五百[ごひゃく];567/ 五百[ごひゃく]六十七[ろくじゅうしち]
を見せて[をみせて];チケットを 見[み]せてください。
見せて[みせて];ちょっと 見[み]せてくださいね。
何ですか[なんですか];入国[にゅうこく]目的[もくてき]は 何[なん]ですか。
大変ですね[たいへんですね];大変[たいへん]ですね。
分かりました[わかりました];ああ、そうですか。 分[わ]かりました。
煩い[うるさい];隣[となり]の 部屋[へや]がうるさいのです。
いい天気ですね[いいてんきですね];今日[きょう]はいい 天気[てんき]ですね。
どうぞお上がり[どうぞおあがり];どうぞお 上[あ]がりください。
じゃ、また明日[じゃ、またあした];じゃ、また 明日[あした]
茶わん[ちゃわん];この 大[おお]きい 茶碗[ちゃわん]は 誰[だれ]のですか。
鶏肉[とりにく];私[わたし]は 鶏肉[とりにく]を 食[た]べたい。
本当ですか[ほんとうですか];君[きみ]がボストンに 住[す]みたかったというのは 本当[ほんとう]ですか？その 話[はなし]は 本当[ほんとう]ですか。
全部で[ぜんぶで];全部[ぜんぶ]で 1050円[えん]です。
重い病気[おもいびょうき];友[とも]だちは 重[おも]い 病気[びょうき]があります。
駄目ですか[だめですか];駄目[だめ]ですか。
上手に[じょうずに];彼[かれ]は 上手[じょうず]に 英語[えいご]を 話[はな]す。
ねつを出す[ねつをだす];熱[ねつ]を 出[だ]す。
四百[よんひゃく];この 資料[しりょう]を 四百[よんひゃく]枚[まい]コピーしてください。
此方こそ宜しく[こちらこそよろしく];此方[こちら]こそ 宜[よろ]しく。
残念ですね[ざんねんですね];その 事故[じこ]で 誰[だれ]も 助[たす]からなかったのは 残念[ざんねん]ですね。
これで終わる[これでおわる];これで 終[お]わる。
どう致しまして[どういたしまして];「ありがとうご 座[ざ]います」「どう 致[いた]しまして」
然うして[そうして];ご 飯[はん]を 食[た]べた。そうして、 寝[ね]た。
皆で[みんなで];皆[みんな]でその 歌[うた]を 歌[うた]いましょう！
失礼いたします[しつれいいたします];昨日[きのう]は 失礼[しつれい]いたしました。
昼御飯[ひるごはん];普段[ふだん]はここでお 昼[ひる]ご 飯[はん]を 食[た]べてます。
でも飲みませんか[でものみませんか];ビールでも 飲[の]みませんか。
ああ良かった[ああよかった];ああ 良[よ]かった。
疲れました[つかれました];楽[たの]しく 街[まち]を 見[み]ましたが、 少[すこ]し 疲[つか]れました。
良かったですね[よかったですね]？;良[よ]かったですね。
困ったなあ[こまったなあ];困[こま]ったなあ。
御休みなさい[おやすみなさい];御休[やす]みなさい。
お幾つ[おいくつ];あなたのお 父[とう]さんはお 幾[いく]つですか。
短く[みじかく];あの 赤[あか]いネクタイはあまり 短[みじか]くないです。
お忙しいですか[おいそがしいですか];今[いま]、お 忙[いそが]しいですか。
凄いですね[すごいですね];凄[すご]いですね。
詰らない[つまらない];少年達[しょうねんたち]はキャロルのことをつまらない 人間[にんげん]だと 思[おも]っていた。
粁[キロメートル];七千[ななせん]キロメートル
此れでいいですか[これでいいですか];此[これ]れでいいですか。
いいですね;彼[かれ]にもわかるように、 私達[わたしたち]も 英語[えいご]で 話[はな]した 方[ほう]がいいですね。
何階[なんがい];何階[なんがい]にお 住[す]まいですか？
ちょっと~まで;ちょっとあそこまで 行[い]こう。ちょっと 最後[さいご]まで 私[わたし]の 話[はなし]を 聞[き]いて！ 昨日[きのう]はちょっと 遅[おそ]くまで 起[お]きていました。
元気です[げんきです];私[わたし]も 元気[げんき]です。
而して[そして];そして、もう 一度[いちど]廊下[ろうか]を 見[み]た。
お婆さん[おばあさん];あのお 婆[ばあ]さんは 誰[だれ]ですか？
疲[つか]れる;彼[かれ]はすぐに 疲[つか]れる。
適当[てきとう];そのしつもんの 適当[てきとう]なこたえが 見[み]つかりません。
仕方[しかた];ファイルのダウンロードの 仕方[しかた]がわかりません。
探す[さがす];代役[だいやく]を 探[さが]すのはおおごとだよ。
客[きゃく];そのみせはわかい 客[きゃく]がおおいです。
見つける[みつける];トムを 見[み]つけて。
この間[このあいだ];この 間[あいだ]かのじょに 会[あ]った。
心配[しんぱい];ここで 待[ま]ってるから、 心配[しんぱい]すんな。
食事[しょくじ];今晩[こんばん]はレストランで 食事[しょくじ]しよう。
熱[ねつ];きのうの 夜[よる]熱[ねつ]が 出[で]ました。
下着[したぎ];わたしは 下着[したぎ]を 手[て]で 洗[あら]う。
用[よう];用[よう]があるので、 早[はや]く 帰[かえ]る。
迎える[むかえる];来年[らいねん]は、 富士山[ふじさん]で 新年[しんねん]を 迎[むか]えたい。
安心[あんしん];それを 聞[き]いて 安心[あんしん]しました。
知らせる[しらせる];知[し]らせてくれてありがとう。
下りる[おりる];そこの 階段[かいだん]を 下[お]りてください。
線[せん];８番線[ばんせん]で 急行[きゅうこう]に 乗[の]ります。
髪[かみ];マリアさんの 髪[かみ]は 長[なが]いです。
注意[ちゅうい];そのビンを 落[お]とさないように 注意[ちゅうい]しなさい。
案内[あんない];わたしが 中[なか]をご 案内[あんない]します。
驚く[おどろく];かれは 血[ち]を 見[み]て 驚[おどろ]いた。
相談[そうだん];彼[かれ]には 相談[そうだん]する 人[ひと]がいない。
入院[にゅういん];トムは 3ヶ 月[さんかげつ]前[まえ]から 入院[にゅういん]している。
投げる[なげる];ボールをこっちに 投[な]げてください。
アメリカ;アメリカから 帰[かえ]る 前[まえ]に 私[わたし]は 卒業[そつぎょう]してしまってるでしょう。
ご存知[ごぞんじ];この 人[ひと]の 名前[なまえ]をご 存知[ごぞんじ]ですか。
入学[にゅうがく];彼[かれ]はその 大学[だいがく]に 入学[にゅうがく]を 許可[きょか]されなかった。
柔らかい[やわらかい];新[あたら]しいソファーはとても 柔[やわ]らかいです。
運動[うんどう];彼女達[かのじょたち]は 選挙権[せんきょけん]を 勝[か]ち 取[と]るための 運動[うんどう]を 指揮[しき]した。
あっ;あっ、 木村[きむら]さんからメールが 入[はい]ってきました。
出席[しゅっせき];私[わたし]がそのパーティーに 出席[しゅっせき]する 必要[ひつよう]がありますか。
拝見[はいけん];切符[きっぷ]を 拝見[はいけん]します。
簡単[かんたん];心配[しんぱい]しないで。 簡単[かんたん]だよ。
プレゼント;私[わたし]が 買[か]ったプレゼント、トムは 気[き]に 入[い]ると 思[おも]う？
チェック;彼女[かのじょ]がホテルのチェックアウトしたのって、 何時[なんじ]だった？
紹介[しょうかい];両親[りょうしん]に 彼女[かのじょ]を 紹介[しょうかい]した。
無理をする[むりをする];大層[たいそう]ご 無理[むり]をお 願[ねが]いしてすみません。
運転[うんてん];トムはホテルのエレベーターの 運転手[うんてんしゅ]と 親[した]しくなりました。
すっかり;買[か]い 物[もの]をすっかり 忘[わす]れていた。
ベル;玄関[げんかん]のベルが 鳴[な]った。
建てる[たてる];私[わたし]たちは 来年[らいねん]、 家[いえ]を 建[た]てます。
アナウンサー;私[わたし]はアナウンサーになりたい。
踊り[おどり];この 踊[おど]りは 易[やさ]しいですよ。
パート;妻[つま]がパートの 仕事[しごと]を 探[さが]しています。
毎月[まいげつ];毎月[まいげつ]レポートを 出[だ]さなければならない。
アクセサリー;このアクセサリーは 素敵[すてき]ね。
日[ひ];夏[なつ]は 日[ひ]が 長[なが]い。
スクリーン;トムはスクリーンに 釘付[くぎづ]けだった。
はず;あの 二人[ふたり]、 確[たし]か 去年[きょねん]結婚[けっこん]したはずだよ。
お祝い[おいわい];心[こころ]からお 祝[いわ]いを 申[もう]し 上[あ]げます。
葡萄[ぶどう];私[わたし]は 葡萄[ぶどう]が 好[す]きです。
お湯[おゆ];カップラーメンはお 湯[おゆ]を 入[い]れてたった 3分間[さんぷんかん]待[ま]てば 出来上[できあ]がる。
降り出す[ふりだす];私[わたし]は 雨[あめ]が 降[ふ]り 出[だ]す 前[まえ]に 学校[がっこう]に 着[つ]いた。
木綿[もめん];彼女[かのじょ]は 木綿[もめん]のシャツを 着[き]ています。
気分がいい[きぶんがいい];気分[きぶん]がいいです。 昨晩[さくばん]はよく 眠[ねむ]れました。
お先にどうぞ[おさきにどうぞ];紳士[しんし]の 人[ひと]からお 先[さき]にどうぞ。
恐い[こわい];俺[おれ]の 母親[ははおや]は 世界一[せかいいち]恐[こわ]い。
ワープロ;ワープロがあれば、こんな 煩[わずら]わしさはなくなるだろう。
成程[なるほど];成程[なるほど]よく 分[わ]かりました。
火[ひ];火[ひ]を 消[け]して。
久し振り[ひさしぶり];大変[たいへん]お 久[ひさ]しぶりですね。
ハンドバッグ;ハンドバッグを 忘[わす]れました。
お出でになる[おいでになる];あなたがお 出[い]でになれない 事[こと]を 聞[き]いてがっかりしました。
漬ける[つける];魚[さかな]を 味噌[みそ]に 漬[つ]けました。
一緒にいかがですか[いっしょうにいかがですか];ご 一緒[いっしょ]にいかがですか。
お出かけですか[おでかけですか];今日[きょう]はどちらへお 出[で]かけですか？
お陰[おかげ];友達[ともだち]のお 陰[かげ]で 毎日[まいにち]楽[たの]しいです。
お腹が一杯だ[おなかがいっぱいだ];お 腹[なか]が 一杯[いっぱい]。
お引き出しですか[おひきだしですか];お 引[ひ]き 出[だ]しですか。
どうぞお元気で[どうぞおでげんきで];どうぞお 元気[げんき]で。
と言う本[というほん];「パンドラ・アイランド」と 言[い]う 本[ほん]を 読[よ]みます。
今いいでしょうか[いまいいでしょうか];今[いま]いいでしょうか。
お元気でいらっしゃいますか[おげんきでいらっしゃいますか];お 元気[げんき]でいらっしゃいますか。
宜しい[よろしい];レポートはこれで 宜[よろ]しいですか。
どちら様でしょうか[どちらさまでしょうか];どちら 様[さま]でしょうか。
あのう、お願いがあるんですが[あのうおねがいがあるんですが];あのう、お 願[ねが]いがあるんですが。
そろそろ失礼します[そろそろしつれいします];それではそろそろ 失礼[しつれい]します。
働きすぎ[はたらきすぎ];あなたは 働[はたら]きすぎです。しばらく 座[すわ]って 楽[らく]にしなさい。
楽しみにしている[たのしみにしている];私[わたし]は 君[きみ]や 君[きみ]の 家族[かぞく]に 会[あ]えるのを 楽[たの]しみにしている。
の代わりに[のかわりに];私[わたし]の 代[か]わりに 彼女[かのじょ]に 言[い]ってください。
が素敵ですね[がすてきですね];素敵[すてき]ですね。
成るべく[なるべく];成[な]るべく 早[はや]く 仕事[しごと]を 終[お]わらせてください。
旨い[うまい];肉[にく]は、 旨[うま]い。
ご注文は[ごはちゅうもんは];ご 注文[ちゅうもん]は 何[なに]にしますか。
其れに[それに];山[やま]の 上[うえ]からの 景色[けしき]が 綺麗[きれい]。 其[それ]れに 空気[くうき]も 綺麗[きれい]。
に就いて[について];彼[かれ]とニュースについて 話[はな]しました。
漸と[やっと];この 子[こ]、やっと 寝[ね]たみたいよ。
人間[にんげん];人間[にんげん]の 心[こころ]は 複雑[ふくざつ]です。
友人[ゆうじん];彼[かれ]は 高校時代[こうこうじだい]からの 友人[ゆうじん]です。
一生[いっしょう];一生[いっしょう]のお 願[ねが]いがあります。
全て[すべて];彼[かれ]に 全[すべ]ての 事[こと]を 伝[つた]えた。
自然[しぜん];皆[みんな]で 自然[しぜん]を 守[まも]りましょう。
全く[まったく];私[わたし]には 全[まった]く 分[わ]かりません。
分ける[わける];お 菓子[かし]を 皆[みんな]で 分[わ]けました。
大した[たいした];それは 大[たい]した 事[こと]はない。
一方[いっぽう];ここは 一方通行[いっぽうつうこう]です。
知識[ちしき];もっと 色々[いろいろ]な 知識[ちしき]を 増[ふ]やしたい。
事実[じじつ];それは 全[すべ]て 事実[じじつ]ですか。
当時[とうじ];彼女[かのじょ]は 当時[とうじ]まだ 三歳[さんさい]だった。
時期[じき];冬[ふゆ]は 一日[いちにち]が 短[みじか]く、 最[もっと]も 寒[さむ]い 時期[じき]です。
本物[ほんもの];これは 本物[ほんもの]のダイヤモンドです。
意外[いがい];意外[いがい]にも 彼[かれ]は 独身[どくしん]です。
手術[しゅじゅつ];父[ちち]は 胸[むね]の 手術[しゅじゅつ]をした。
通り[とおり];この 通[とお]りは 賑[にぎ]やかですね。
理解[りかい];理解[りかい]してくれてありがとう。
恋人[こいびと];彼[かれ]は 恋人[こいびと]を 失[うしな]った。
分析[ぶんせき];今[いま]の 経済[けいざい]の 動[うご]きを 分析[ぶんせき]しています。
事情[じじょう];あなたの 事情[じじょう]はよく 分[わ]かりました。
月[がつ];祭日[さいじつ]が 日曜[にちよう]にダブると 月曜[げつよう]が 休[やす]みになる。
食う[くう];腹[はら]いっぱい 食[く]った。
最高[さいこう];これまでで 最高[さいこう]の 結果[けっか]が 出[で]たよ。
他[ほか];他[ほか]の 人[ひと]はどこですか？
絶対[ぜったい];そんな 事[こと]は 絶対[ぜったい]できないよ。
度[たび];ある 程度[ていど]君[きみ]の 言[い]い 方[かた]は 正[ただ]しい。
下ろす[おろす];棚[たな]からその 箱[はこ]を 下[お]ろしてください。
意識[いしき];彼[かれ]は 意識[いしき]を 失[うしな]いました。
無事[ぶじ];事故[じこ]に 遭[あ]った 人[ひと]の 無事[ぶじ]が 確認[かくにん]された。
起こる[おこる];町[まち]で 大事件[だいじけん]が 起[お]こりました。
一般[いっぱん];一般[いっぱん]の 方[かた]はこちらの 席[せき]へどうぞ。
手段[しゅだん];彼[かれ]は 目的[もくてき]のためには 手段[しゅだん]を 選[えら]ばなかったわね。
金[かね];これはかなり 金[かね]がかかった。
味方[みかた];私[わたし]はいつも、あなたの 味方[みかた]です。
得意[とくい];得意[とくい]料理[りょうり]はオムレツです。
状態[じょうたい];大雨[おおあめ]で、この 川[かわ]は 危険[きけん]な 状態[じょうたい]だ。
偉大[いだい];彼[かれ]は 偉大[いだい]な 音楽家[おんがくか]だ。
空[から];雨[あめ]がやんで 空[そら]が 明[あか]るくなった。
地方[ちほう];この 地方[ちほう]には、 自然[しぜん]がたくさんある。
引っ張る[ひっぱる];娘[むすめ]が 私[わたし]の 手[て]を 引[ひ]っ 張[ぱ]った。
何でも[なんでも];お 母[かあ]さんが 何[なん]でもしてあげるから。
数[すう];今日[きょう]は 数人[すうにん]の 学生[がくせい]が 欠席[けっせき]した。
追う[おう];女[おんな]の 子[こ]が 犬[いぬ]を 追[お]い 掛[か]けている。
悪魔[あくま];今夜[こんや]は 悪魔[あくま]と 出[で]かける 気分[きぶん]じゃないの。
行動[こうどう];彼[かれ]は 娘[むすめ]の 行動[こうどう]に 腹[はら]を 立[た]てた。
唯一[ゆいいつ];吉田君[よしだくん]は、 会社[かいしゃ]で 唯一[ゆいいつ]の 18歳[じゅうはっさい]だ。
知恵[ちえ];友達[ともだち]に 子育[こそだ]ての 知恵[ちえ]をアドバイスしてもらった。
殺す[ころす];私[わたし]は 生[い]き 物[もの]を 殺[ころ]すのが 嫌[きら]いだ。
次第[しだい];連絡[れんらく]があり 次第[しだい]出発[しゅっぱつ]します。
言わば[いわば];彼女[かのじょ]は 言[い]わば 姉[あね]のような 存在[そんざい]です。
小[しょう];この 箱[はこ]の 小[しょう]をください。
要素[ようそ];睡眠[すいみん]は 健康[けんこう]の 為[ため]の 重要[じゅうよう]な 要素[ようそ]である。
生地[きじ];マリメッコの 生地[きじ]でクッションを 作[つく]りました。
男の人[おとこのひと];私[わたし]のドイツ 語[ご]の 先生[せんせい]は 男[おとこ]の 人[ひと]です。
日曜[にちよう];毎週[まいしゅう]日曜日[にちようび]は 教会[きょうかい]に 行[い]きます。
勝ち[かち];歌合戦[うたがっせん]は 赤組[あかぐみ]の 勝[か]ちでしたね。
抜く[ぬく];ワインのコルクを 抜[ぬ]きました。
気づく[きづく];トムの 行動[こうどう]に 気[き]づく 人[ひと]はいないと 思[おも]う。
気味[きみ];とても 不気味[ぶきみ]だと 思[おも]った。
感心[かんしん];彼[かれ]の 上手[うま]い 言[い]い 回[まわ]しに 感心[かんしん]した。
優勝[ゆうしょう];彼女[かのじょ]は 昨年[さくねん]五[いつ]つの 大会[たいかい]で 優勝[ゆうしょう]した。
王子[おうじ];王子[おうじ]は、 乗馬[じょうば]を 始[はじ]めました。
目の前[めのまえ];何[なに]かを 言[い]うべき 相手[あいて]は 僕[ぼく]の 目[め]の 前[まえ]から 消[き]え 去[さ]った。
流す[ながす];彼女[かのじょ]は 涙[なみだ]を 流[なが]したんだ。
都会[とかい];彼[かれ]は 都会[とかい]での 生活[せいかつ]を 楽[たの]しんでいるの。
疑問[ぎもん];彼[かれ]の 言葉[ことば]が 本当[ほんとう]かは 疑問[ぎもん]です。
不満[ふまん];私[わたし]は 彼[かれ]のやり 方[かた]には 不満[ふまん]です。
台[だい];車[くるま]が 一台[いちだい]こちらのほうへ 近[ちか]づいてきた。
大半[たいはん];労働者[ろうどうしゃ]の 大半[たいはん]は 組合[くみあい]に 属[ぞく]している。
側[そば];彼[かれ]らは 川[かわ]の 向[む]こう 側[がわ]に 住[す]んでいる。
種類[しゅるい];ご 存知[ぞんじ]のように 日本語[にほんご]には 文字[もじ]が 三種類[さんしゅるい]あります。
著者[ちょしゃ];なんと 私[わたし]の 姉[あね]もその 本[ほん]の 著者[ちょしゃ]でした。
証明[しょうめい];容疑者[ようぎしゃ]のアリバイが 証明[しょうめい]されました。
