人[ひと];彼[かれ]は 優[やさ]しい 人[ひと]です。
何[なん];質問[しつもん]は 何[なん]ですか。
見る[みる];私[わたし]は 絵[え]を 見[み]るのが 好[す]きです。
何[なに];この 学生[がくせい]は 何[なに]を 書[か]きましたか。
言う[いう];課長[かちょう]は「 一杯[いっぱい] 飲[の]みましょう」と 言[い]った。
今[いま];父[ちち]は 今[いま]テレビを 見[み]ている。
一[いち];一時[いちじ]です。
一人[ひとり];私[わたし]は 一人[ひとり]で 公園[こうえん]を 散歩[さんぽ]しました。
二人[ふたり];今日[きょう]は 妻[つま]と 二人[ふたり]で 食事[しょくじ]をします。
今日[きょう];今日[きょう]は 仕事[しごと]がありません。
行く[いく];タクシーで 病院[びょういん]に 行[い]った。
出る[でる];今朝[けさ]は 早[はや]く 家[いえ]を 出[で]ました。
分かる[わかる];質問[しつもん]の 意味[いみ]は 分[わ]かりましたか。
大きい[おおきい];あの 大[おお]きい 建物[たてもの]は 何[なん]ですか。
私[わたし];私[わたし]が 行[い]きましょう。
来る[くる];彼[かれ]は 昼過[ひるす]ぎに 来[き]ます。
言葉[ことば];この 言葉[ことば]の 意味[いみ]が 分[わ]かりません。
出す[だす];猫[ねこ]を 外[そと]に 出[だ]した？
一番[いちばん];冬[ふゆ]は 私[わたし]の 一番[いちばん] 好[す]きな 季節[きせつ]です。
見せる[みせる];その 写真[しゃしん]を 見[み]せてください。
時間[じかん];5時間[じかん] 海[うみ]にいました。
大丈夫[だいじょうぶ];大丈夫[だいじょうぶ]ですか。
出来る[できる];駅[えき]の 前[まえ]に 大[おお]きいスーパーが 出来[でき]ました。
大きな[おおきな];大[おお]きな 家[いえ]に 住[す]みたい。
入る[はいる];寒[さむ]いので 中[なか]に 入[はい]ってください。
本[ほん];本[ほん]がある。
日本[にほん];日本[にほん]は 中国[ちゅうごく]に 近[ちか]い。
入れる[いれる];鞄[かばん]に 本[ほん]を 入[い]れます。
方[かた];次[つぎ]の 方[かた]どうぞ。
話す[はなす];母[はは]と 電話[でんわ]で 話[はな]しました。
会う[あう];また 会[あ]いましょう。
仕事[しごと];3月[さんがつ]は 仕事[しごと]が 忙[いそが]しい。
昨日[きのう];昨日[きのう]メアリーが 買[か]ったのは 何[なん]ですか。
聞く[きく];彼女[かのじょ]はラジオを 聞[き]いています。
私[わたくし];私[わたくし]もです！
大切[たいせつ];これは 母[はは]が 大切[たいせつ]にしていた 指輪[ゆびわ]です。
物[もの];フランスではナイフとフォークで 食[た]べるものだ。
大好き[だいすき];私[わたし]は 犬[いぬ]が 大好[だいす]きだ。
一日[いちにち];昨日[きのう]は 一日[いちにち]テストの 勉強[べんきょう]をしていました。
後[あと];仕事[しごと]の 後[あと] 映画[えいが]を 見[み]た。
取る[とる];テストでいい 点[てん]を 取[と]った。
同じ[おなじ];彼[かれ]の 日本語[にほんご]のレベルは 私[わたし]と 同[おな]じくらいだ。
一緒[いっしょ];一緒[いっしょ]に 食事[しょくじ]しようか。
作る[つくる];今[いま] 朝[あさ]ご 飯[はん]を 作[つく]っています。
病気[びょうき];祖父[そふ]が 病気[びょうき]になった。
半分[はんぶん];お 菓子[かし]を 友達[ともだち]に 半分[はんぶん]あげた。
部屋[へや];私[わたし]の 部屋[へや]は2階[にかい]にあります。
先[さき];お 先[さき]にどうぞ。
切る[きる];この 紙[かみ]を 半分[はんぶん]に 切[き]ってください。
間[かん];1時間半[いちじかんはん]かかりますよ。
特定[とくてい];警察[けいさつ]は 犯人[はんにん]を 特定[とくてい]したらしいよ
成立[せいりつ];あの 会社[かいしゃ]との 契約[けいやく]が 成立[せいりつ]しました
指定[してい];指定[してい]された 席[せき]にお 座[すわ]りください
大して[たいして];彼[かれ]は 大[たい]して 嬉[うれ]しそうには 見[み]えなかったよね
第一[だいいち];私[わたし]には 仕事[しごと]が 第一[だいいち]です
気の毒[きのどく];彼[かれ]らは 気[き]の 毒[どく]な 生活[せいかつ]をしている
回転[かいてん];彼[かれ]はボールに 回転[かいてん]をかけたんだ
直後[ちょくご];食[た]べた 直後[ちょくご]に 寝[ね]ないほうがいいよ
確率[かくりつ];天気予報[てんきよほう]は 当[あ]たる 確率[かくりつ]が 高[たか]くなりましたね
実力[じつりょく];二人[ふたり]の 実力[じつりょく]は 互角[ごかく]です
手入れ[ていれ];母[はは]は 庭[にわ]の 手入[てい]れをしています
行事[ぎょうじ];メグは 学校[がっこう]のいろいろな 行事[ぎょうじ]に 参加[さんか]する。
見送る[みおくる];彼[かれ]が 外国[がいこく]に 行[い]くのを 見送[みおく]りました
思い切り[おもいきり];カラオケで 思[おも]い 切[き]り 歌[うた]ったの
折角[せっかく];折角[せっかく] 来[き]たんだからゆっくりしていきなさい
下る[くだる];小[ちい]さな 船[ふね]が 川[かわ]を 下[くだ]っています
隙間[すきま];二台[にだい]の 自販機[じはんき]の 隙間[すきま]に、 小銭[こぜに]が2-3 枚[まい] 落[お]ちているのを 見[み]つけました。
出入り[でいり];彼[かれ]の 家[いえ]は 人[ひと]の 出入り[でいり]が 多[おお]いね
飛び込む[とびこむ];蛙[かえる]が 池[いけ]に 飛[と]び 込[こ]んだね
追加[ついか];オーダーを 追加[ついか]しました
余計[よけい];余計[よけい]なことを 言[い]っては 駄目[だめ]よ
回数[かいすう];最近[さいきん]はテレビを 見[み]る 回数[かいすう]が 減[へ]りました
強化[きょうか];国[くに]は 国語[こくご] 教育[きょういく]を 強化[きょうか]しています
打ち合わせ[うちあわせ];午後[ごご]に 打[う]ち 合[あ]わせをしましょう
一通り[ひととおり];説明書[せつめいしょ]を 一通[ひととお]り 読[よ]んだの
分解[ぶんかい];機械[きかい]を 分解[ぶんかい]してみたの
受験[じゅけん];日本語[にほんご] 能力[のうりょく] 試験[しけん]を 受験[じゅけん]したんだ
解放[かいほう];人質[ひとじち]が 解放[かいほう]されてよかった
日程[にってい];試験[しけん]の 日程[にってい]が 発表[はっぴょう]されました
分類[ぶんるい];これらの 本[ほん]を 分類[ぶんるい]してください
言い出す[いいだす];突然[とつぜん] 何[なに]を 言[い]い 出[だ]すのかと 思[おも]った
高める[たかめる];自分[じぶん]を 高[たか]めるのは 大切[たいせつ]なことです
付近[ふきん];事件[じけん] 現場[げんば] 付近[ふきん]で 怪[あや]しい 人物[じんぶつ]を 見[み]た
中間[ちゅうかん];その 二[ふた]つの 町[まち]の 中間[ちゅうかん]には 川[かわ]が 流[なが]れているの
特殊[とくしゅ];彼[かれ]は 特殊[とくしゅ]な 能力[のうりょく]を 持[も]っています
学年[がくねん];彼[かれ]は 私[わたし]より 一[ひと] 学年[がくねん] 上[うえ]です
工夫[くふう];色々[いろいろ] 工夫[くふう]して 仕事[しごと]をやり 遂[と]げたさ
死体[したい];公園[こうえん]で 死体[したい]が 見[み]つかったの
勿体ない[もったいない];食[た]べ 物[もの]を 残[のこ]しては 勿体[もったい]ないわよ
段階[だんかい];この 段階[だんかい]では 決断[けつだん]するのはまだ 早[はや]い
湯気[ゆげ];薬缶[やかん]から 湯気[ゆげ]が 出[で]ていますよ
高度[こうど];高度[こうど]な 技術[ぎじゅつ]を 持[も]つ 人材[じんざい]を 集[あつ]めました
増やす[ふやす];あの 町[まち]は 緑[みどり]を 増[ふ]やしています
見本[みほん];見本[みほん]はこちらにございます
引き受ける[ひきうける];新[あたら]しい 仕事[しごと]を 引[ひ]き 受[う]けたよ
一流[いちりゅう];さすが、 一流[いちりゅう]のピアニストは 違[ちが]うね。
強引[ごういん];友人[ゆうじん]の 強引[ごういん]な 誘[さそ]いを 断[ことわ]れませんでした
知人[ちじん];彼[かれ]は 昔[むかし]からの 知人[ちじん]です
神様[かみさま];神様[かみさま]にお 願[ねが]いしました
女房[にょうぼう];女房[にょうぼう]は 実家[じっか]に 帰[かえ]っています
取り入れる[とりいれる];彼[かれ]は 新[あたら]しいアイデアをすぐ 取[と]り 入[い]れます
いつの間にか[いつのまにか];いつの 間[ま]にか 夜[よ]が 明[あ]けていたね
解説[かいせつ];新聞[しんぶん]の 解説[かいせつ] 欄[らん]を 読[よ]みました
先程[さきほど];その 件[けん]でしたら 先程[さきほど] 上司[じょうし]から 許可[きょか]を 得[え]ております
体操[たいそう];兄[あに]は 体操[たいそう]の 選手[せんしゅ]です
放る[ほうる];ボールを 空中[くうちゅう]に 放[ほう]ったの
乾杯[かんぱい];お 二人[ふたり]の 未来[みらい]に 乾杯[かんぱい]しましょう
一斉[いっせい];生徒達[せいとたち]は 一斉[いっせい]に 温度計[おんどけい]に 目[め]をやりました。
含める[ふくめる];私[わたし]を 含[ふく]めて10 人[にん]が 参加[さんか]しました
面接[めんせつ];新[あたら]しい 仕事[しごと]の 面接[めんせつ]に 行[い]ってきました
見出し[みだし];新聞[しんぶん]の 見出[みだ]しが 彼[かれ]の 目[め]を 引[ひ]いたんだ
広げる[ひろげる];電車[でんしゃ]の 中[なか]では 新聞[しんぶん]を 広[ひろ]げないで
年度[ねんど];売上[うりあげ]は 年度[ねんど]によって 違[ちが]います
応援[おうえん];大勢[おおぜい]が 応援[おうえん]に 駆[か]けつけてくれたよ
重なる[かさなる];高速[こうそく] 道路[どうろ]で 事故[じこ]が 重[かさ]なった
活躍[かつやく];彼[かれ]の 活躍[かつやく]で 優勝[ゆうしょう]したよ
重たい[おもたい];この 鞄[かばん]は 重[おも]たいです
方面[ほうめん];沖縄[おきなわ] 方面[ほうめん]にお 出[で]かけの 方[かた]は 台風[たいふう]にご 注意[ちゅうい]ください
液体[えきたい];洗濯[せんたく]に 液体[えきたい]の 洗剤[せんざい]を 使[つか]っています
繋がる[つながる];電話[でんわ]が 繋[つな]がりません
過程[かてい];プログラムの 過程[かてい]に 問題[もんだい]があるの
行列[ぎょうれつ];店[みせ]の 前[まえ]に 長[なが]い 行列[ぎょうれつ]ができていますよ
空中[くうちゅう];蝶々[ちょうちょう]が 空中[くうちゅう]を 舞[ま]っています
高級[こうきゅう];私達[わたしたち]は 高級[こうきゅう]ホテルに 泊[と]まったの
性質[せいしつ];この 犬[いぬ]は 穏[おだ]やかな 性質[せいしつ]だよ
寄せる[よせる];車[くるま]を 塀[へい]に 寄[よ]せたよ
教わる[おそわる];私[わたし]は 両親[りょうしん]から 多[おお]くを 教[おそ]わりました
夕日[ゆうひ];夕日[ゆうひ]が 西[にし]の 空[そら]に 沈[しず]んだね
無限[むげん];資源[しげん]は 無限[むげん]ではありません
生意気[なまいき];あの 子[こ]は 生意気[なまいき]だと 思[おも]います
実績[じっせき];彼[かれ]は 営業[えいぎょう]で 実績[じっせき]を 上[あ]げたんだ
反省[はんせい];彼[かれ]は 十分[じゅうぶん] 反省[はんせい]しています
相変わらず[あいかわらず];彼[かれ]は 相変[あいか]わらず 忙[いそが]しいですね
背[せい];彼[かれ]の 家族[かぞく]はみな 背[せ]が 高[たか]い。
広場[ひろば];広場[ひろば]に 子供[こども]がたくさん 集[あつ]まっていたよ
逃がす[にがす];釣[つ]った 魚[さかな]を 逃[にが]しました
巻く[まく];庭[にわ]に 花[はな]の 種[たね]を 蒔[ま]きました。
```csv
長引く[ながびく];会議[かいぎ]が 長引[ながび]いているようです
映る[うつる];水面[みなも]に 月[つき]が 映[うつ]っているね
役目[やくめ];私[わたし]は 無事[ぶじ]に 役目[やくめ]を 終[お]えたよ
先端[せんたん];棒[ぼう]の 先端[せんたん]を 持[も]ってください
親指[おやゆび];彼[かれ]は 私[わたし]の 顔[かお]を 指先[ゆびさき]でぽんとはじいた。
拭く[ふく];タオルで 体[からだ]を 拭[ふ]きました
通知[つうち];明日[あす]、 詳細[しょうさい]を 通知[つうち]します
余る[あまる];夕食[ゆうしょく]の 料理[りょうり]が たくさん 余[あま]った
本部[ほんぶ];その 事件[じけん]の 直後[ちょくご]、 捜査[そうさ] 本部[ほんぶ]が 設置[せっち]された
毎度[まいど];毎度[まいど]ありがとうございます
各地[かくち];私[わたし]はイギリス 各地[かくち]を 見物[けんぶつ]した。
少なくとも[すくなくとも];この 仕事[しごと]には 少[すく]なくとも 二週間[にしゅうかん] 必要[ひつよう]でしょう
解散[かいさん];来年[らいねん] 衆議院[しゅうぎいん]が 解散[かいさん]されるだろう
話し合い[はなしあい];プロジェクト メンバーと 話し合[はなしあ]いをしたの
刺す[さす];虫[むし]に 腕[うで]を 刺[さ]されました
狙う[ねらう];来年[らいねん]は 優勝[ゆうしょう]を 狙[ねら]います
点数[てんすう];今回[こんかい]は テストの 点数[てんすう]が 悪[わる]かった
接近[せっきん];台風[たいふう]が 接近[せっきん]していますね
案外[あんがい];彼[かれ]は 案外[あんがい]いい 人[ひと]かもしれない
正面[しょうめん];その 家[いえ]の 正面[しょうめん]には 大[おお]きな バルコニーがあるの
周辺[しゅうへん];この 周辺[しゅうへん]には 大学[だいがく]が 多[おお]い
間隔[かんかく];電車[でんしゃ]は 五分[ごふん] 間隔[かんかく]で 来[き]ますよ
楽器[がっき];私[わたし]が 好[す]きな 楽器[がっき]は ギターです
構造[こうぞう];この 建物[たてもの]の 構造[こうぞう]は 複雑[ふくざつ]です
意義[いぎ];この 事業[じぎょう]には 大[おお]きな 意義[いぎ]があります
上級[じょうきゅう];彼[かれ]は 上級[じょうきゅう]の コースに 上[あ]がったよ
追いかける[おいかける];田中[たなか]さんは 山田[やまだ]さんのことが 大好[だいす]きで、毎日[まいにち] 追[お]いかけています。
統一[とういつ];文字[もじ]の 大[おお]きさは 統一[とういつ]してください
近寄る[ちかよる];彼[かれ]に 近寄[ちかよ]らないで
名字[みょうじ];あなたの 名字[みょうじ]は 何[なん]ですか
各自[かくじ];ごみは 各自[かくじ]で 持[も]ち 帰[かえ]ってください
以後[いご];すみません 以後[いご] 気[き]をつけます
作者[さくしゃ];この 本[ほん]の 作者[さくしゃ]は 誰[だれ]ですか
延長[えんちょう];国会[こっかい]の 会期[かいき]が 延長[えんちょう]されたわね
方言[ほうげん];彼[かれ]は 方言[ほうげん]で 話[はな]します
別々[べつべつ];別々[べつべつ]に 払[はら]いましょう
手首[てくび];手首[てくび]の 関節[かんせつ]を ひねっちゃった
着せる[きせる];娘[むすめ]に かわいい ドレスを 着[き]せた
生存[せいぞん];乗客[じょうきゃく]は 全員[ぜんいん] 生存[せいぞん]しています
停止[ていし];突然[とつぜん] 機械[きかい]が 停止[ていし]してしまったの
地点[ちてん];もうすぐ 目標[もくひょう]の 地点[ちてん]に 到達[とうたつ]します
対立[たいりつ];その 二社[にしゃ]は 対立[たいりつ]しています
転がる[ころがる];猫[ねこ]は 砂[すな]の 上[うえ]で 転[ころ]がったんだ
突っ込む[つっこむ];ポケットに 財布[さいふ]を 突[つ]っ込[こ]んじゃった
子孫[しそん];彼[かれ]は 織田信長[おだのぶなが]の 子孫[しそん]だよ
通路[つうろ];通路[つうろ]の 右側[みぎがわ]に トイレがありますよ
見下ろす[みおろす];山[やま]の 頂上[ちょうじょう]から 麓[ふもと]を 見下[みお]ろしたの
低下[ていか];最近[さいきん] 教育[きょういく] レベルが 低下[ていか]しています
性別[せいべつ];出席者[しゅっせきしゃ]を 性別[せいべつ]で 分[わ]けてください
組み合わせ[くみあわせ];色[いろ]の 組み合[くみあ]わせで 印象[いんしょう]が 変[か]わりますよ
固まる[かたまる];もう プリンは 固[かた]まったかな
役所[やくしょ];役所[やくしょ]で 住民票[じゅうみんひょう]を もらってきた
テーマ;講演[こうえん]の テーマは 何[なん]ですか
期限[きげん];期限[きげん]までに 申[もう]し 込[こ]みました
夜間[やかん];夜間[やかん]は 裏口[うらぐち]から 入[はい]ってください
油断[ゆだん];少[すこ]しの 油断[ゆだん]が 大[おお]きな 事故[じこ]に 繋[つな]がります
暴れる[あばれる];彼[かれ]は 悪酔[わるよ]いして 暴[あば]れたんだ
怪しい[あやしい];その 男[おとこ]の 行動[こうどう]は 怪[あや]しかったわ
爪[つめ];爪[つめ]が 伸[の]びています
表紙[ひょうし];その 人気[にんき] アイドルが 今月[こんげつ]の 表紙[ひょうし]だよ
大層[たいそう];彼[かれ]は 大層[たいそう] 喜[よろこ]んでいました
引き返す[ひきかえす];今[いま] 引き返[ひきかえ]すことは、遅[おそ]すぎる。
私立[しりつ];私立[しりつ]の 大学[だいがく]は 学費[がくひ]が 高[たか]い
立ち止まる[たちどまる];人々[ひとびと]は 立ち止[たちど]まって 上[うえ]を 見上[みあ]げたの
仲良し[なかよし];あの 三人組[さんにんぐみ]は 仲良[なかよ]しですね
潰す[つぶす];ペットボトルは 潰[つぶ]して 捨[す]てましょう
帰す[かえす];学校[がっこう]は 生徒達[せいとたち]を 午前中[ごぜんちゅう]に 帰[かえ]したね
合同[ごうどう];三社[さんしゃ] 合同[ごうどう]で 新作[しんさく]の 発表会[はっぴょうかい]を 開[ひら]きました
頼もしい[たのもしい];彼[かれ]は 頼[たの]もしい 人[ひと]です
```
果たして[はたして];果たして 彼[かれ]は 現[あらわ]れるだろうか
改める[あらためる];彼[かれ]は 悪[わる]い 習慣[しゅうかん]を 改[あらた]めようとしているわね
有難い[ありがたい];彼[かれ]の 助[たす]けは 本当[ほんとう]にありがたいな。
方角[ほうがく];私[わたし]と 彼[かれ]は 帰[かえ]る 方角[ほうがく]が 同[おな]じです
区切る[くぎる];フロアは パーティションで 区切[くぎ]られています
人差し指[ひとさしゆび];彼女[かのじょ]は 人差し指[ひとさしゆび]を 怪我[けが]したの。
主役[しゅやく];彼[かれ]は 学校[がっこう]の 劇[げき]で 主役[しゅやく]に 選[えら]ばれたよ
シリーズ;このシリーズは５０ 話[わ]もあるそうよ。
揃う[そろう];朝[あさ]は 家族[かぞく] 全員[ぜんいん]がそろって 食事[しょくじ]します。
待ち合わせる[まちあわせる];彼[かれ]と 新宿[しんじゅく]で 待[ま]ち 合[あ]わせました
開放[かいほう];その 国[くに]は 市場[しじょう]の 開放[かいほう]を 求[もと]められているの
意地悪[いじわる];彼[かれ]は 時々[ときどき] 意地悪[いじわる]な 質問[しつもん]をする。
混ざる[まざる];水[みず]と 油[あぶら]は 混[ま]ざりません
強気[つよき];彼女[かのじょ]は 強気[つよき]な 女性[じょせい]ですね
寄越す[よこす];父[ちち]が 長[なが]い 手紙[てがみ]を 寄越[よこ]したよ
引っ掛かる[ひっかかる];魚[さかな]の 骨[ほね]が 喉[のど]に 引[ひ]っ 掛[か]かった
無数[むすう];宇宙[うちゅう]には 無数[むすう]の 星[ほし]があります
目下[めした];彼[かれ]は 目下[めした]の 者[もの]にも 優[やさ]しいんだ
懐かしい[なつかしい];ここは 私[わたし]にとって 懐[なつ]かしい 場所[ばしょ]です
間もなく[まもなく];間もなく 開演[かいえん]です！
潰れる[つぶれる];箱[はこ]の 角[かど]が 潰[つぶ]れていますよ
申し訳ない[もうしわけない];彼[かれ]には 申[もう]し 訳[わけ]ないことをした
近々[ちかぢか];それについては、近々[ちかぢか] 発表[はっぴょう]があると 思[おも]いますよ。
写る[うつる];この カメラは よく 写[うつ]りますよ
王女[おうじょ];王子[おうじ]は、王女[おうじょ]の 美[うつく]しさにうっとりしました。
挟む[はさむ];ドアに 指[ゆび]を 挟[はさ]んだ
溶ける[とける];暑[あつ]さで アイスクリームが 溶[と]けてしまった
バランス;栄養[えいよう]バランスのいい 食事[しょくじ]をしよう
早口[はやくち];彼女[かのじょ]は 早口[はやくち]だ
感激[かんげき];感激[かんげき]して 泣[な]いてしまいました
日差し[ひざし];今日[きょう]は 日差[ひざ]しが 強[つよ]いですね
用途[ようと];この 道具[どうぐ]の 用途[ようと]を 説明[せつめい]します
通訳[つうやく];私[わたし]は 通訳[つうやく]です
並行[へいこう];複数[ふくすう]の 言語[げんご]を 並行[へいこう]して 勉強[べんきょう]することは、ひとつだけを 学習[がくしゅう]するよりも 効率的[こうりつてき]だと 聞[き]いたことがあります。
仲直り[なかなおり];喧嘩[けんか]した 友達[ともだち]と 仲直[なかなお]りしました
思い付く[おもいつく];彼[かれ]は 名案[めいあん]を 思[おも]いついたの
モデル;彼女[かのじょ]は この 小説[しょうせつ]の 主人公[しゅじんこう]の モデルです
消毒[しょうどく];足[あし]の 傷[きず]を 消毒[しょうどく]したわ
溜まる[たまる];彼[かれ]は ストレスが 溜[た]まっているの
中指[なかゆび];中指[なかゆび]を ドアに 挟[はさ]んでしまった
着替え[きがえ];着替[きが]えを 旅行[りょこう]カバンに 詰[つ]めたよ
目次[もくじ];読[よ]みたい 章[しょう]を 目次[もくじ]で 探[さが]しました
埋める[うめる];庭[にわ]に 穴[あな]を 掘[ほ]って それを 埋[う]めました
時速[じそく];新幹線[しんかんせん]の 最高[さいこう] 時速[じそく]は 三百[さんびゃく]キロです
独り言[ひとりごと];彼女[かのじょ]は いつも 独[ひと]り 言[ごと]を 言[い]うんだ
耐える[たえる];この ビルは 大地震[おおじしん]に 耐[た]えられるでしょうか
狙い[ねらい];彼女[かのじょ]の 狙[ねら]いは 教師[きょうし]になることである。
引き止める[ひきとめる];帰[かえ]ろうとする 友達[ともだち]を 引[ひ]き 止[と]めたんだ
全般[ぜんぱん];彼[かれ]は 植物[しょくぶつ] 全般[ぜんぱん]に 詳[くわ]しいね
片付く[かたづく];仕事[しごと]が だいぶ 片付[かたづ]いた
予備[よび];旅行[りょこう]には 予備[よび]の 靴[くつ]を 持[も]っていきます
手洗い[てあらい];風邪[かぜ]をひかないように 手洗[てあら]いとうがいをしましょう
小指[こゆび];小指[こゆび]を 切[き]ってしまいました
募集[ぼしゅう];私[わたし]の 会社[かいしゃ]で 社員[しゃいん]を 募集[ぼしゅう]しています
除く[のぞく];部長[ぶちょう]を 除[のぞ]く 全員[ぜんいん]が 土曜日[どようび]も 働[はたら]いた
弱点[じゃくてん];彼[かれ]の 弱点[じゃくてん]は スタミナが 足[た]りないところです
祝日[しゅくじつ];五月[ごがつ]三日[みっか]は 祝日[しゅくじつ]だ
取り消す[とりけす];ホテルの 予約[よやく]を 取[と]り 消[け]したよ
名所[めいしょ];ここは 桜[さくら]の 名所[めいしょ]です
反映[はんえい];新型車[しんがたしゃ]に 研究[けんきゅう]の 成果[せいか]が 反映[はんえい]されています
見かけ[みかけ];彼[かれ]は 見[み]かけによらず 優[やさ]しいね
先祖[せんぞ];神道[しんとう]では 先祖[せんぞ]を 大切[たいせつ]にします
防止[ぼうし];警察[けいさつ]は 犯罪[はんざい]の 防止[ぼうし]に 努[つと]めています
真っ暗[まっくら];外[そと]は 真[ま]っ 暗[くら]です
書店[しょてん];駅前[えきまえ]に 新[あたら]しい 書店[しょてん]ができました
体系[たいけい];勤務[きんむ]の 体系[たいけい]を 見直[みなお]すことにしました
迫る[せまる];締切[しめきり]が 迫[せま]っています
判子[はんこ];ここに 判子[はんこ]を 押[お]してください
中世[ちゅうせい];彼女[かのじょ]は 中世[ちゅうせい]の 音楽[おんがく]が 好[す]きです
公式[こうしき];今後[こんご]の 方針[ほうしん]が 公式[こうしき]に 発表[はっぴょう]されました
基準[きじゅん];相手[あいて]の きじゅん 基準[きじゅん]を 受[う]け入[い]れるのは、その 相手[あいて]の ちから 力[ちから]に 服従[ふくじゅう]することだ。
荒い[あらい];彼[かれ]は 金遣[かねづか]いが 荒[あら]いな
目覚まし[めざまし];目覚[めざ]ましに コーヒーを 飲[の]んだの
遠足[えんそく];明日[あす]は 遠足[えんそく]で 動物園[どうぶつえん]に 行[い]きます
限度[げんど];物事[ものごと]には 限度[げんど]があります
中途[ちゅうと];私[わたし]は 中途[ちゅうと] 採用[さいよう]で 入社[にゅうしゃ]しました
一昨年[いっさくねん];大学[だいがく] 卒業[そつぎょう]は 一昨年[いっさくねん]です
ピンク;娘[むすめ]が ピンクの ドレスを 着[き]ている
形式[けいしき];書類[しょるい]は 形式[けいしき]を 守[まも]って 作[つく]ってください
応用[おうよう];この レシピは 色々[いろいろ] 応用[おうよう]できます
パターン;彼女[かのじょ]の 行動[こうどう]パターンは 興味深[きょうみぶか]いな
バンド;きついバンドは けつえき 血液[けつえき]の じゅんかん 循環[じゅんかん]を さまた 妨[さまた]げる。
純粋[じゅんすい];子供[こども]の 純粋[じゅんすい]な 心[こころ]を 傷[きず]つけてはいけません
小遣い[こづかい];おじいちゃんに お小遣[こづか]いを もらったよ
製作[せいさく];この 映画[えいが]は 香港[ほんこん]で 製作[せいさく]されました
殴る[なぐる];彼[かれ]は 思[おも]わず 友人[ゆうじん]を 殴[なぐ]ったの
掻く[かく];背中[せなか]を お母[かあ]さんに 掻[か]いてもらったの
大工[だいく];私[わたし]の 父[ちち]は 大工[だいく]です
張り切る[はりきる];母[はは]は 張[は]り切[き]って お弁当[べんとう]を 用意[ようい]したの
名物[めいぶつ];この 町[まち]の 名物[めいぶつ]は 葡萄[ぶどう]です
刻む[きざむ];玉[たま]ねぎを 細[こま]かく 刻[きざ]んでください
見舞う[みまう];昨日[きのう] 友人[ゆうじん]を 見舞[みま]ったの
日日[ひにち];ミーティングの 日[ひ]にちを 間違[まちが]えました
電波[でんぱ];このビルはコンクリートでできてるので、無線[むせん]の 電波[でんぱ]は 届[とど]きません。
締め切り[しめきり];申[もう]し込[こ]みの 締[し]め切[き]りはいつですか。
干す[ほす];母[はは]は 洗濯物[せんたくもの]を 干[ほ]しています
ポスター;電柱[でんちゅう]に ポスターが 貼[は]ってあった
繋がり[つながり];この 文[ぶん]の 繋[つな]がりは おかしいです
大通り[おおどおり];大通[おおどお]りで パレードが 始[はじ]まるよ
空っぽ[からっぽ];僕[ぼく]の 財布[さいふ]は 空[から]っぽだよ
乱暴[らんぼう];人[ひと]に 乱暴[らんぼう]してはいけません
風船[ふうせん];子供[こども]が 風船[ふうせん]を 膨[ふく]らませているね
人通り[ひとどおり];ここは 人通[ひとどお]りが 激[はげ]しいね
性能[せいのう];今度[こんど]の パソコンは 性能[せいのう]が すごくいい
攻める[せめる];彼[かれ]は 積極的[せっきょくてき]に 攻[せ]めたが 勝[か]てなかったな
乾燥[かんそう];冬[ふゆ]は 空気[くうき]が 乾燥[かんそう]しますね
蹴る[ける];ゴールキーパーが ボールを 蹴[け]った。
鳴らす[ならす];お坊[ぼう]さんが 鐘[かね]を 鳴[な]らしていますね
響く[ひびく];彼[かれ]の 声[こえ]は よく 響[ひび]きます
ステージ;彼[かれ]は ステージに 立[た]ったよ
皮膚[ひふ];冬[ふゆ]は 皮膚[ひふ]が 乾燥[かんそう]しますね
次ぐ[つぐ];彼[かれ]は トップに 次[つ]ぐ 好成績[こうせいせき]でした
揃える[そろえる];花[はな]は 長[なが]さを 揃[そろ]えて 花瓶[かびん]に 挿[さ]しましょう
売店[ばいてん];駅[えき]の 売店[ばいてん]で 雑誌[ざっし]を 買[か]った
インタビュー;彼[かれ]は インタビューに はきはきと 答[こた]えてたよ
学力[がくりょく];学力[がくりょく]を 付[つ]けて その 大学[だいがく]に 進[すす]みたい
広める[ひろめる];誰[だれ]が 噂[うわさ]を 広[ひろ]めたんだろう
継続[けいぞく];物事[ものごと]は 根気[こんき]よく 継続[けいぞく]することが 大切[たいせつ]です
通勤[つうきん];毎朝[まいあさ] 通勤[つうきん]に 三十分[さんじゅっぷん]かかります
真っ先[まっさき];合格[ごうかく]を 真[ま]っ先[さき]に 両親[りょうしん]に 伝[つた]えたの
映す[うつす];彼女[かのじょ]は 自分[じぶん]の 姿[すがた]を 鏡[かがみ]に 映[うつ]したの
マイナス;外[そと]の 温度[おんど]は マイナス3度[さんど]です
曲げる[まげる];膝[ひざ]を 曲[ま]げてください
トレーニング;彼[かれ]は 毎日[まいにち] トレーニングをするの
入れ物[いれもの];荷物[にもつ]が 多[おお]いので 大[おお]きな 入[い]れ物[もの]が 必要[ひつよう]です
下品[げひん];彼女[かのじょ]の 下品[げひん]な 振[ふ]る舞[ま]いには 我慢[がまん]できない
出来上がり[できあがり];私[わたし]は 作品[さくひん]の 出来上[できあ]がりに 満足[まんぞく]しています
休息[きゅうそく];休息[きゅうそく]を 取[と]ることは 大切[たいせつ]です
